,price,priceNew,title
0,$9.99,,People Cu3ed
1,$8.99,$7.19,1/4平方米的星空-A Piece of Wish upon the Stars
2,,,Emitters
3,$1.99,$1.19,The Silver Crusade: Aoorha Axeman
4,,,英语杀
5,,,Color by Numbers - Christmas Demo
6,,,Dangerous Ground
7,,,Parkan: Iron Strategy
8,$1.99,$1.49,Incel Clicker
9,$3.99,$3.39,The Endless Empty
10,,,Miami Cruise
11,$2.99,$2.39,Soccer Battle Royale
12,$0.99,$0.59,Rolling Ball
13,,,Shrines Of Sacred Essenсe Demo
14,$2.99,$2.39,GameEllen
15,,,ElectriX: Electro Mechanic Simulator
16,,,Mushrooms: Forest Walker
17,$1.99,$1.39,ULTIMATE HARDBASS DEFENCE
18,$7.99,,A Gentlemanly Adventure
19,$14.99,$13.49,ASH OF WAR™
20,,,Steel Vampire Original Soundtrack
21,$14.99,$12.74,Parabolus
22,$13.99,,Dark Parables: The Match Girl's Lost Paradise Collector's Edition
23,,,The Anomaly Demo
24,$19.99,$14.99,The Wall
25,,,Barbarian Trash
26,,,NekoCharm
27,,,DYSTOA - VR
28,$4.99,,Quixer - Donation #1
29,$9.99,,Quixer - Donation #2
30,$1.99,$1.69,Quixer
31,$1.99,,King of Queendoms Soundtrack
32,$1.99,$1.79,King of Queendoms
33,$0.99,$0.59,HENTAI CASINO \ 性赌场
34,$1.99,$1.19,共产主义女孩 ~ ☭ Communism（￣ー￣）
35,$4.99,$4.49,Su Hack
36,,,Headshot VR
37,$14.99,,Nano Nebula
38,$1.99,,Zombie Bitcoin Defense
39,$19.99,,Time Warpers
40,$11.99,$10.79,One More Roll
41,$9.99,$8.99,True Fear: Forsaken Souls Part 2
42,$7.99,$5.19,There Is No Turning Back!
43,$10.99,,Soy Nero
44,$0.99,$0.59,EBOLA.VI.CORP - WHO WILL HEAR IT - WILL BE SAVED
45,$0.99,$0.59,Cortex
46,$0.99,$0.59,Kings
47,$14.99,$8.99,Lost Artifacts: Time Machine
48,,,Lost Connection
49,,,Not in Heaven
50,$2.99,$2.69,Super Turbo Sudoku
51,$7.99,$7.19,Heavy Burger
52,,,Football Manager 2019 Demo
53,,,Virtual Soccer Zone
54,,,Football Manager Touch 2019 Demo
55,,,Of Gods and Men: The Daybreak Empire Demo
56,$1.99,$1.19,Super Strawberry Man
57,$9.99,$7.49,Galaxy Squad
58,$4.99,$4.49,Candice DeBébé's Scandalous Secrets
59,$2.99,$2.69,Candice DeBébé's Scandalous Soundtrack
60,$0.99,$0.59,Deconstruction Lab
61,$3.99,,DERU - Official Soundtrack
62,$4.99,,A Chair in a Room: Greenwater OST
63,,,Lume - Alpha Release
64,,,Mixed Estate
65,$1.99,$1.49,Safe
66,$1.99,,Bomber Crew Skin Pack 2
67,$2.99,,Puzlogic
68,$1.99,,War in Space
69,,,Apartment 327 Demo
70,,,The Occluder
71,$1.99,$1.79,Keyhole Spy: Lots of Girls
72,,,Angelus Brand VR Experience
73,$4.99,$4.74,Bravado
74,,,Solid Aether Demo
75,$2.99,$2.54,Waifu Bay Girls
76,$4.99,,Roads of Rome: New Generation 2
77,,,Megaton
78,,,Cuboid Keeper Demo
79,$5.99,,INSECT HAZARD
80,$2.99,$2.00,CastleGuard
81,$3.99,,Ruya
82,$4.99,,Requiem
83,$19.99,,Meow Motors
84,$7.99,$7.19,Sea Dogs: City of Abandoned Ships
85,$4.99,,Legacy of Lina
86,$1.99,$1.19,Lovers ' Smiles
87,,,Halfway Home
88,,,crazy maze ~疯狂迷宫 ~ 狂った迷路 ~ Laberinto loco ~ Labyrinthe fou ~ Verrücktes Labyrinth
89,$1.99,,В поисках Атлантиды
90,,,PINPIN BALLBALL
91,$4.99,$3.99,Redshift VR
92,$7.99,,The Other Half
93,$1.99,$1.19,Yet another tower defence
94,$12.99,$9.74,Seed of Evil
95,,,Cosmoteer: Starship Architect & Commander
96,$10.99,$7.69,Metamorph
97,$29.99,$23.99,Driver Booster 6 PRO
98,,,Driver Booster 6 for Steam
99,,,Four Kings One War
100,$17.99,$16.19,MarisaLand Legacy
101,$39.99,$25.99,AnyTime Organizer Deluxe 16
102,$2.99,,Xin Xianying - Officer Ticket / 辛憲英使用券
103,$2.99,,Zhou Cang - Officer Ticket / 周倉使用券
104,$2.99,,Xu Sheng - Officer Ticket / 徐盛使用券
105,$3.99,,Cheng Pu - Officer Ticket / 程普使用券
106,$2.99,,Xun You - Officer Ticket / 荀攸使用券
107,$1.99,,Man Chong - Officer Ticket / 満寵使用券
108,$1.99,,Zhurong - Officer Ticket / 祝融使用券
109,$2.99,,Ma Dai - Officer Ticket / 馬岱使用券
110,$3.99,,Sun Quan - Officer Ticket / 孫権使用券
111,$3.99,,Cao Xiu - Officer Ticket / 曹休使用券
112,$3.99,,Lianshi - Officer Ticket / 練師使用券
113,$1.99,,Sun Ce - Officer Ticket / 孫策使用券
114,$2.99,,Xingcai - Officer Ticket / 星彩使用券
115,$3.99,,Xun Yu - Officer Ticket / 荀彧使用券
116,$2.99,,Ling Tong - Officer Ticket / 凌統使用券
117,$2.99,,Liu Shan - Officer Ticket / 劉禅使用券
118,$3.99,,Zhou Tai - Officer Ticket / 周泰使用券
119,$2.99,,Lu Lingqi - Officer Ticket / 呂玲綺使用券
120,$2.99,,Ding Feng - Officer Ticket / 丁奉使用券
121,$3.99,,Huang Gai - Officer Ticket / 黄蓋使用券
122,$2.99,,Guo Huai - Officer Ticket / 郭淮使用券
123,$2.99,,Lu Meng - Officer Ticket / 呂蒙使用券
124,$1.99,,Chen Gong - Officer Ticket / 陳宮使用券
